id,name,datetime,year,month,day,hour,record_identifier,latitude,longitude,status,category,max_wind,min_pressure,ts_diameter,hu_diameter,storm_id,dur_track,dur_type,tc_dur_track,tc_dur_type,unname_label,max_category,max_status_label,max_max_wind,min_min_pressure,max_ts_diameter,max_hu_diamter
AL112017,Irma,2017-09-10T13:00:00Z,2017,9,10,13,L,24.7,-81.5,tropical hurricane,4,115,931,471.8198,126.58579999999999,Irma-2017,14.5,L,12.75,L,yes,5,FALSE,155,914,586.8978,138.09359999999998
AL112017,Irma,2017-09-10T19:00:00Z,2017,9,10,19,L,25.9,-81.7,tropical hurricane,3,100,936,540.8666,126.58579999999999,Irma-2017,14.5,L,12.75,L,yes,5,FALSE,155,914,586.8978,138.09359999999998
AL132017,Katia,2017-09-09T03:00:00Z,2017,9,9,3,L,20.6,-97.1,tropical hurricane,1,65,990,115.07799999999999,28.769499999999997,Katia-2017,4,L,3,L,yes,2,FALSE,90,972,126.58579999999999,40.2773
AL152017,Maria,2017-09-19T01:00:00Z,2017,9,19,1,L,15.4,-61.3,tropical hurricane,5,145,922,230.15599999999998,57.538999999999994,Maria-2017,16,L,13.75,L,yes,5,TRUE,150,908,460.31199999999995,207.14039999999997
AL152017,Maria,2017-09-20T03:00:00Z,2017,9,20,3,I,17.3,-64.7,tropical hurricane,5,150,908,264.6794,97.8163,Maria-2017,16,L,13.75,L,yes,5,TRUE,150,908,460.31199999999995,207.14039999999997
AL152017,Maria,2017-09-20T10:00:00Z,2017,9,20,10,L,18,-65.9,tropical hurricane,4,135,920,264.6794,97.8163,Maria-2017,16,L,13.75,L,yes,5,FALSE,150,908,460.31199999999995,207.14039999999997
AL162017,Nate,2017-10-05T12:00:00Z,2017,10,5,12,L,13.9,-83.5,tropical storm,0,35,999,46.0312,0,Nate-2017,7.5,L,3.25,L,yes,1,FALSE,80,981,207.14039999999997,40.2773
AL162017,Nate,2017-10-08T00:00:00Z,2017,10,8,0,L,29.1,-89.2,tropical hurricane,1,75,983,195.6326,34.523399999999995,Nate-2017,7.5,L,3.25,L,yes,1,TRUE,80,981,207.14039999999997,40.2773
AL162017,Nate,2017-10-08T05:00:00Z,2017,10,8,5,L,30.4,-89,tropical hurricane,1,65,984,195.6326,34.523399999999995,Nate-2017,7.5,L,3.25,L,yes,1,TRUE,80,981,207.14039999999997,40.2773
AL182017,Philippe,2017-10-28T22:00:00Z,2017,10,28,22,L,22.2,-81.6,tropical storm,0,35,1000,138.09359999999998,0,Philippe-2017,1.25,S,0.16666666666666666,S,yes,0,TRUE,35,1000,138.09359999999998,0
AL012018,Alberto,2018-05-28T21:00:00Z,2018,5,28,21,L,30.3,-86,tropical storm,0,40,992,138.09359999999998,0,Alberto-2018,6,L,2.125,L,yes,0,TRUE,55,990,184.1248,0
AL062018,Florence,2018-09-14T11:00:00Z,2018,9,14,11,L,34.2,-77.8,tropical hurricane,1,80,956,356.74179999999996,149.60139999999998,Florence-2018,19.25,L,15.25,L,yes,4,FALSE,130,937,356.74179999999996,149.60139999999998
AL072018,Gordon,2018-09-03T09:00:00Z,2018,9,3,9,R,24.6,-80,tropical storm,0,35,1008,46.0312,0,Gordon-2018,5,L,1.875,S,yes,0,TRUE,60,996,126.58579999999999,0
AL072018,Gordon,2018-09-03T11:00:00Z,2018,9,3,11,L,25,-80.5,tropical storm,0,45,1006,46.0312,0,Gordon-2018,5,L,1.875,S,yes,0,TRUE,60,996,126.58579999999999,0
AL072018,Gordon,2018-09-03T13:00:00Z,2018,9,3,13,L,25.2,-80.9,tropical storm,0,45,1006,46.0312,0,Gordon-2018,5,L,1.875,S,yes,0,TRUE,60,996,126.58579999999999,0
AL072018,Gordon,2018-09-05T03:00:00Z,2018,9,5,3,L,30.4,-88.5,tropical storm,0,60,996,115.07799999999999,0,Gordon-2018,5,L,1.875,S,yes,0,TRUE,60,996,126.58579999999999,0
AL122018,Kirk,2018-09-28T00:00:00Z,2018,9,28,0,L,13.8,-60.9,tropical storm,0,45,1002,218.64819999999997,0,Kirk-2018,6.5,L,6.25,L,yes,0,TRUE,55,998,218.64819999999997,0
AL142018,Michael,2018-10-10T17:00:00Z,2018,10,10,17,L,30,-85.5,tropical hurricane,5,140,919,253.17159999999998,69.04679999999999,Michael-2018,9,L,4.25,L,yes,5,TRUE,140,919,322.2184,74.80069999999999
